year,fips3,municipio,sex,agegrp,population
2005,1,Adjuntas,2,1,671
2006,1,Adjuntas,2,1,652
2007,1,Adjuntas,2,1,637
2008,1,Adjuntas,2,1,623
2009,1,Adjuntas,2,1,613
2000,1,Adjuntas,2,2,764
2001,1,Adjuntas,2,2,763
2002,1,Adjuntas,2,2,759
2003,1,Adjuntas,2,2,750
2004,1,Adjuntas,2,2,741
2005,1,Adjuntas,2,2,732
2006,1,Adjuntas,2,2,717
2007,1,Adjuntas,2,2,697
2008,1,Adjuntas,2,2,673
2009,1,Adjuntas,2,2,649
2000,1,Adjuntas,2,3,891
2001,1,Adjuntas,2,3,886
2002,1,Adjuntas,2,3,882
2003,1,Adjuntas,2,3,875
2004,1,Adjuntas,2,3,869
2005,1,Adjuntas,2,3,852
2006,1,Adjuntas,2,3,843
2007,1,Adjuntas,2,3,825
2008,1,Adjuntas,2,3,807
2009,1,Adjuntas,2,3,787
2000,1,Adjuntas,2,4,904
2001,1,Adjuntas,2,4,879
2002,1,Adjuntas,2,4,857
2003,1,Adjuntas,2,4,840
2004,1,Adjuntas,2,4,826
2005,1,Adjuntas,2,4,820
2006,1,Adjuntas,2,4,805
2007,1,Adjuntas,2,4,787
2008,1,Adjuntas,2,4,771
2009,1,Adjuntas,2,4,753
2000,1,Adjuntas,2,5,748
2001,1,Adjuntas,2,5,758
2002,1,Adjuntas,2,5,759
2003,1,Adjuntas,2,5,756
2004,1,Adjuntas,2,5,748
2005,1,Adjuntas,2,5,730
2006,1,Adjuntas,2,5,711
2007,1,Adjuntas,2,5,691
2008,1,Adjuntas,2,5,678
2009,1,Adjuntas,2,5,671
2000,1,Adjuntas,2,6,612
2001,1,Adjuntas,2,6,618
2002,1,Adjuntas,2,6,630
2003,1,Adjuntas,2,6,650
2004,1,Adjuntas,2,6,670
2005,1,Adjuntas,2,6,687
2006,1,Adjuntas,2,6,700
2007,1,Adjuntas,2,6,707
2008,1,Adjuntas,2,6,706
2009,1,Adjuntas,2,6,698
2000,1,Adjuntas,2,7,653
2001,1,Adjuntas,2,7,643
2002,1,Adjuntas,2,7,639
2003,1,Adjuntas,2,7,636
2004,1,Adjuntas,2,7,634
2005,1,Adjuntas,2,7,627
2006,1,Adjuntas,2,7,619
2007,1,Adjuntas,2,7,617
2008,1,Adjuntas,2,7,623
2009,1,Adjuntas,2,7,629
2000,1,Adjuntas,2,8,669
2001,1,Adjuntas,2,8,667
2002,1,Adjuntas,2,8,660
2003,1,Adjuntas,2,8,647
2004,1,Adjuntas,2,8,631
2005,1,Adjuntas,2,8,617
2006,1,Adjuntas,2,8,604
2007,1,Adjuntas,2,8,593
2008,1,Adjuntas,2,8,587
2009,1,Adjuntas,2,8,579
2000,1,Adjuntas,2,9,673
2001,1,Adjuntas,2,9,681
2002,1,Adjuntas,2,9,686
2003,1,Adjuntas,2,9,695
2004,1,Adjuntas,2,9,704
2005,1,Adjuntas,2,9,708
2006,1,Adjuntas,2,9,710
2007,1,Adjuntas,2,9,707
2008,1,Adjuntas,2,9,697
2009,1,Adjuntas,2,9,682
2000,1,Adjuntas,2,10,600
2001,1,Adjuntas,2,10,611
2002,1,Adjuntas,2,10,625
2003,1,Adjuntas,2,10,635
2004,1,Adjuntas,2,10,644
2005,1,Adjuntas,2,10,654
2006,1,Adjuntas,2,10,658
2007,1,Adjuntas,2,10,661
2008,1,Adjuntas,2,10,669
2009,1,Adjuntas,2,10,676
2000,1,Adjuntas,2,11,572
2001,1,Adjuntas,2,11,579
2002,1,Adjuntas,2,11,582
2003,1,Adjuntas,2,11,585
2004,1,Adjuntas,2,11,595
2005,1,Adjuntas,2,11,602
2006,1,Adjuntas,2,11,616
2007,1,Adjuntas,2,11,630
2008,1,Adjuntas,2,11,641
2009,1,Adjuntas,2,11,651
2000,1,Adjuntas,2,12,502
2001,1,Adjuntas,2,12,535
2002,1,Adjuntas,2,12,565
2003,1,Adjuntas,2,12,591
2004,1,Adjuntas,2,12,612
2005,1,Adjuntas,2,12,633
2006,1,Adjuntas,2,12,639
2007,1,Adjuntas,2,12,644
2008,1,Adjuntas,2,12,648
2009,1,Adjuntas,2,12,657
2000,1,Adjuntas,2,13,383
2001,1,Adjuntas,2,13,397
2002,1,Adjuntas,2,13,415
2003,1,Adjuntas,2,13,434
2004,1,Adjuntas,2,13,451
2005,1,Adjuntas,2,13,469
2006,1,Adjuntas,2,13,497
2007,1,Adjuntas,2,13,522
2008,1,Adjuntas,2,13,543
2009,1,Adjuntas,2,13,562
2000,1,Adjuntas,2,14,318
2001,1,Adjuntas,2,14,329
2002,1,Adjuntas,2,14,342
2003,1,Adjuntas,2,14,356
2004,1,Adjuntas,2,14,373
2005,1,Adjuntas,2,14,387
2006,1,Adjuntas,2,14,401
2007,1,Adjuntas,2,14,415
2008,1,Adjuntas,2,14,434
2009,1,Adjuntas,2,14,453
2000,1,Adjuntas,2,15,257
2001,1,Adjuntas,2,15,264
2002,1,Adjuntas,2,15,272
2003,1,Adjuntas,2,15,279
2004,1,Adjuntas,2,15,287
2005,1,Adjuntas,2,15,300
2006,1,Adjuntas,2,15,307
2007,1,Adjuntas,2,15,315
2008,1,Adjuntas,2,15,321
2009,1,Adjuntas,2,15,330
2000,1,Adjuntas,2,16,206
2001,1,Adjuntas,2,16,210
2002,1,Adjuntas,2,16,212
2003,1,Adjuntas,2,16,215
2004,1,Adjuntas,2,16,216
2005,1,Adjuntas,2,16,216
2006,1,Adjuntas,2,16,221
2007,1,Adjuntas,2,16,225
2008,1,Adjuntas,2,16,227
2009,1,Adjuntas,2,16,229
2000,1,Adjuntas,2,17,138
2001,1,Adjuntas,2,17,143
2002,1,Adjuntas,2,17,149
2003,1,Adjuntas,2,17,154
2004,1,Adjuntas,2,17,157
2005,1,Adjuntas,2,17,163
2006,1,Adjuntas,2,17,164
2007,1,Adjuntas,2,17,166
2008,1,Adjuntas,2,17,168
2009,1,Adjuntas,2,17,170
2000,1,Adjuntas,2,18,159
2001,1,Adjuntas,2,18,159
2002,1,Adjuntas,2,18,159
2003,1,Adjuntas,2,18,159
2004,1,Adjuntas,2,18,161
2005,1,Adjuntas,2,18,165
2006,1,Adjuntas,2,18,168
2007,1,Adjuntas,2,18,171
2008,1,Adjuntas,2,18,175
2009,1,Adjuntas,2,18,179
2000,3,Aguada,0,0,42110
2001,3,Aguada,0,0,42313
2002,3,Aguada,0,0,42455
2003,3,Aguada,0,0,42564
2004,3,Aguada,0,0,42664
2005,3,Aguada,0,0,42672
2006,3,Aguada,0,0,42571
2007,3,Aguada,0,0,42389
2008,3,Aguada,0,0,42219
2009,3,Aguada,0,0,42070
2000,3,Aguada,0,1,3219
2001,3,Aguada,0,1,3154
2002,3,Aguada,0,1,3068
2003,3,Aguada,0,1,2965
2004,3,Aguada,0,1,2870
2005,3,Aguada,0,1,2765
2006,3,Aguada,0,1,2647
2007,3,Aguada,0,1,2543
2008,3,Aguada,0,1,2457
2009,3,Aguada,0,1,2374
2000,3,Aguada,0,2,3430
2001,3,Aguada,0,2,3381
2002,3,Aguada,0,2,3330
2003,3,Aguada,0,2,3261
2004,3,Aguada,0,2,3185
2005,3,Aguada,0,2,3098
2006,3,Aguada,0,2,3004
2007,3,Aguada,0,2,2881
2008,3,Aguada,0,2,2744
2009,3,Aguada,0,2,2616
2000,3,Aguada,0,3,3630
2001,3,Aguada,0,3,3614
2002,3,Aguada,0,3,3581
2003,3,Aguada,0,3,3549
2004,3,Aguada,0,3,3509
2005,3,Aguada,0,3,3432
2006,3,Aguada,0,3,3369
2007,3,Aguada,0,3,3300
2008,3,Aguada,0,3,3216
2009,3,Aguada,0,3,3123
2000,3,Aguada,0,4,3712
2001,3,Aguada,0,4,3644
2002,3,Aguada,0,4,3577
2003,3,Aguada,0,4,3523
2004,3,Aguada,0,4,3502
2005,3,Aguada,0,4,3516
2006,3,Aguada,0,4,3490
2007,3,Aguada,0,4,3443
2008,3,Aguada,0,4,3408
2009,3,Aguada,0,4,3363
2000,3,Aguada,0,5,3431
2001,3,Aguada,0,5,3472
2002,3,Aguada,0,5,3490
2003,3,Aguada,0,5,3476
2004,3,Aguada,0,5,3433
2005,3,Aguada,0,5,3351
2006,3,Aguada,0,5,3262
2007,3,Aguada,0,5,3163
2008,3,Aguada,0,5,3086
2009,3,Aguada,0,5,3047
2000,3,Aguada,0,6,2807
2001,3,Aguada,0,6,2775
2002,3,Aguada,0,6,2775
2003,3,Aguada,0,6,2801
2004,3,Aguada,0,6,2836
2005,3,Aguada,0,6,2869
2006,3,Aguada,0,6,2869
2007,3,Aguada,0,6,2848
2008,3,Aguada,0,6,2806
2009,3,Aguada,0,6,2739
2000,3,Aguada,0,7,3064
2001,3,Aguada,0,7,3015
2002,3,Aguada,0,7,2983
2003,3,Aguada,0,7,2952
2004,3,Aguada,0,7,2920
2005,3,Aguada,0,7,2873
2006,3,Aguada,0,7,2817
2007,3,Aguada,0,7,2791
2008,3,Aguada,0,7,2795
2009,3,Aguada,0,7,2808
2000,3,Aguada,0,8,3283
2001,3,Aguada,0,8,3246
2002,3,Aguada,0,8,3181
2003,3,Aguada,0,8,3089
2004,3,Aguada,0,8,2993
2005,3,Aguada,0,8,2909
2006,3,Aguada,0,8,2831
2007,3,Aguada,0,8,2766
2008,3,Aguada,0,8,2704
2009,3,Aguada,0,8,2639
2000,3,Aguada,0,9,3177
2001,3,Aguada,0,9,3190
2002,3,Aguada,0,9,3186
2003,3,Aguada,0,9,3200
2004,3,Aguada,0,9,3224
2005,3,Aguada,0,9,3222
2006,3,Aguada,0,9,3213
2007,3,Aguada,0,9,3175
2008,3,Aguada,0,9,3106
2009,3,Aguada,0,9,3036
2000,3,Aguada,0,10,2778
2001,3,Aguada,0,10,2828
2002,3,Aguada,0,10,2886
2003,3,Aguada,0,10,2936
2004,3,Aguada,0,10,2975
2005,3,Aguada,0,10,3014
2006,3,Aguada,0,10,3047
2007,3,Aguada,0,10,3061
2008,3,Aguada,0,10,3093
2009,3,Aguada,0,10,3134
2000,3,Aguada,0,11,2379
2001,3,Aguada,0,11,2438
2002,3,Aguada,0,11,2482
2003,3,Aguada,0,11,2532
2004,3,Aguada,0,11,2592
2005,3,Aguada,0,11,2654
2006,3,Aguada,0,11,2739
2007,3,Aguada,0,11,2833
2008,3,Aguada,0,11,2920
2009,3,Aguada,0,11,2995
2000,3,Aguada,0,12,1920
2001,3,Aguada,0,12,2073
2002,3,Aguada,0,12,2219
2003,3,Aguada,0,12,2351
2004,3,Aguada,0,12,2469
2005,3,Aguada,0,12,2586
2006,3,Aguada,0,12,2645
2007,3,Aguada,0,12,2678
2008,3,Aguada,0,12,2717
2009,3,Aguada,0,12,2775
2000,3,Aguada,0,13,1586
2001,3,Aguada,0,13,1641
2002,3,Aguada,0,13,1711
2003,3,Aguada,0,13,1789
2004,3,Aguada,0,13,1865
2005,3,Aguada,0,13,1949
2006,3,Aguada,0,13,2062
2007,3,Aguada,0,13,2169
2008,3,Aguada,0,13,2261
2009,3,Aguada,0,13,2342
2000,3,Aguada,0,14,1315
2001,3,Aguada,0,14,1369
2002,3,Aguada,0,14,1418
2003,3,Aguada,0,14,1470
2004,3,Aguada,0,14,1531
2005,3,Aguada,0,14,1572
